Date,Time,Latitude,Longitude,Type,Depth,Magnitude,Timestamp,Magnitude Category,DistanceFromRef
08/07/1966,17:36:12,31.0395,-113.777336,Earthquake,6.0,31.61,1966-08-07T17:36:12.000+05:30,High,12254.727346569542
12/20/1966,15:30:01,37.302166,-116.40833,Nuclear Explosion,1.2,31.61,1966-12-20T15:30:01.000+05:30,High,12311.417622441577
04/09/1968,02:29:00,33.179832,-116.103,Earthquake,10.0,31.61,1968-04-09T02:29:00.000+05:30,High,12410.209855657298
04/26/1968,15:00:02,37.295334,-116.455666,Nuclear Explosion,1.2,31.61,1968-04-26T15:00:02.000+05:30,High,12315.645585888282
12/19/1968,16:30:01,37.2315,-116.47366,Nuclear Explosion,1.4,31.61,1968-12-19T16:30:01.000+05:30,High,12319.21899987617
09/16/1969,14:30:01,37.314167,-116.46067,Nuclear Explosion,1.2,31.61,1969-09-16T14:30:01.000+05:30,High,12315.464674519342
03/26/1970,19:00:01,37.3005,-116.534164,Nuclear Explosion,1.2,31.61,1970-03-26T19:00:01.000+05:30,High,12322.126530869189
02/09/1971,14:00:42,34.416,-118.37,Earthquake,8.95,6.837,1971-02-09T14:00:42.000+05:30,High,12573.73466856652
06/06/1973,13:00:01,37.245,-116.346,Nuclear Explosion,1.1,31.61,1973-06-06T13:00:01.000+05:30,High,12307.96376961749
11/22/1974,16:25:34,30.25,-114.8,Earthquake,6.0,31.61,1974-11-22T16:25:34.000+05:30,High,12369.749325750494
06/26/1975,12:30:01,37.27883,-116.36867,Nuclear Explosion,6.0,31.61,1975-06-26T12:30:01.000+05:30,High,12308.804164378185
10/28/1975,14:30:00,37.290165,-116.4115,Nuclear Explosion,1.3,31.61,1975-10-28T14:30:00.000+05:30,High,12312.070346154072
01/03/1976,19:15:01,37.2965,-116.33317,Nuclear Explosion,1.5,31.61,1976-01-03T19:15:01.000+05:30,High,12305.231417834377
02/12/1976,14:45:01,37.27133,-116.488335,Nuclear Explosion,1.2,31.61,1976-02-12T14:45:01.000+05:30,High,12319.183507872807
03/14/1976,12:30:01,37.306,-116.4715,Nuclear Explosion,1.3,31.61,1976-03-14T12:30:01.000+05:30,High,12316.643677815004
03/17/1976,14:15:01,37.255833,-116.31184,Nuclear Explosion,0.9,31.61,1976-03-17T14:15:01.000+05:30,High,12304.721341015318
11/26/1976,11:19:32,41.035168,-124.94967,Earthquake,41.78,5.3,1976-11-26T11:19:32.000+05:30,Low,12854.30222938157
10/15/1979,23:16:54,32.66733,-115.35917,Earthquake,15.0,31.61,1979-10-15T23:16:54.000+05:30,High,12357.490690720013
05/25/1980,19:44:51,37.695667,-118.75,Earthquake,6.0,31.61,1980-05-25T19:44:51.000+05:30,High,12495.012776295878
05/27/1980,14:50:56,37.624332,-118.755165,Earthquake,6.0,31.61,1980-05-27T14:50:56.000+05:30,High,12497.965030635592
06/09/1980,03:28:19,32.199833,-115.12217,Earthquake,6.0,31.61,1980-06-09T03:28:19.000+05:30,High,12348.669482374433
09/07/1980,04:36:38,38.138332,-118.391335,Earthquake,6.0,31.61,1980-09-07T04:36:38.000+05:30,High,12449.556216306923
02/17/1981,15:18:34,-21.743,169.377,Earthquake,29.9,8.9,1981-02-17T15:18:34.000+05:30,High,17336.87146841559
02/23/1981,16:12:26,-13.819,166.552,Earthquake,66.4,5.4,1981-02-23T16:12:26.000+05:30,Low,17881.186283280083
03/04/1981,15:16:00,-25.742,-176.678,Earthquake,40.8,8.6,1981-03-04T15:16:00.000+05:30,High,17130.583594002157
03/31/1981,05:20:40,-35.509,-179.66,Earthquake,43.5,7.4,1981-03-31T05:20:40.000+05:30,High,16066.509068740877
04/05/1981,21:50:08,-55.908,-27.382,Earthquake,89.2,7.5,1981-04-05T21:50:08.000+05:30,High,6688.439232441175
04/10/1981,16:48:18,-23.414,-175.356,Earthquake,35.4,7.3,1981-04-10T16:48:18.000+05:30,High,17363.682353584973
05/15/1981,03:57:08,-56.073,-26.962,Earthquake,99.7,11.9,1981-05-15T03:57:08.000+05:30,High,6690.285540164844
07/08/1981,10:15:35,-1.983,124.704,Earthquake,35.6,5.1,1981-07-08T10:15:35.000+05:30,Low,13863.810507987744
07/15/1981,23:20:42,-17.595,167.598,Earthquake,31.4,7.1,1981-07-15T23:20:42.000+05:30,High,17634.079404833563
09/08/1981,19:26:27,43.406,146.463,Earthquake,45.5,5.9,1981-09-08T19:26:27.000+05:30,Moderate,14151.693733985638
09/20/1981,10:00:03,-6.794,129.523,Earthquake,172.6,5.1,1981-09-20T10:00:03.000+05:30,Low,14365.478355092853
10/09/1981,12:19:40,-9.979,162.046,Earthquake,50.2,5.2,1981-10-09T12:19:40.000+05:30,Low,17739.964116126368
12/01/1981,17:46:44,-37.112,179.712,Earthquake,34.6,6.3,1981-12-01T17:46:44.000+05:30,Moderate,15888.314363713454
12/22/1981,05:02:17,-9.753,154.724,Earthquake,19.7,7.8,1981-12-22T05:02:17.000+05:30,High,17015.43264886475
12/24/1981,06:01:07,-22.045,-176.377,Earthquake,159.4,7.0,1981-12-24T06:01:07.000+05:30,High,17532.540116264518
01/04/1982,06:08:59,17.87,145.455,Earthquake,518.9,6.9,1982-01-04T06:08:59.000+05:30,High,15747.759402675729
02/10/1982,16:17:52,-6.863,106.936,Earthquake,39.8,7.4,1982-02-10T16:17:52.000+05:30,High,11876.844075471676
03/29/1982,10:36:42,-3.652,145.624,Earthquake,21.2,5.8,1982-03-29T10:36:42.000+05:30,Moderate,16173.778463517514
04/10/1982,21:24:37,-21.032,-176.3,Earthquake,162.0,5.8,1982-04-10T21:24:37.000+05:30,Moderate,17642.13825834318
04/30/1982,07:46:48,-56.245,-27.457,Earthquake,105.8,10.8,1982-04-30T07:46:48.000+05:30,High,6722.680244721425
06/25/1982,10:23:51,-6.356,103.437,Earthquake,35.4,5.6,1982-06-25T10:23:51.000+05:30,Moderate,11492.314659214593
